ID,Disease,Name,MeSH_ID,Description
10,C0001627,"Adrenal Hyperplasia, Congenital",D000312,"Congenital adrenal hyperplasia is a group of inherited disorders of adrenal steroidogenesis, usually autosomal recessive, characterized by impaired cortisol biosynthesis with compensatory ACTH excess, adrenal hyperplasia, and variable deficiencies of aldosterone and/or excess adrenal androgens; the commonest form is 21-hydroxylase deficiency caused by biallelic CYP21A2 mutations or gene conversions/deletions, while rarer subtypes include 11β-hydroxylase deficiency (CYP11B1), 17α-hydroxylase/17,20-lyase deficiency (CYP17A1), 3β-hydroxysteroid dehydrogenase deficiency (HSD3B2), steroidogenic acute regulatory protein deficiency/lipoid CAH (STAR), P450 oxidoreductase deficiency (POR), and aldosterone synthase defects (CYP11B2); the relevant pathway is the hypothalamic-pituitary-adrenal axis and adrenal cortical steroidogenic cascade involving cholesterol transport by StAR, CYP11A1-mediated pregnenolone formation, CYP17A1, HSD3B2, CYP21A2, CYP11B1, and mineralocorticoid receptor signaling, with ACTH-driven adrenal androgen overproduction when cortisol feedback fails. Clinical phenotypes include classic salt-wasting and simple virilizing disease and nonclassic late-onset disease, presenting with ambiguous genitalia in 46,XX infants, precocious puberty, hyperpigmentation, vomiting, dehydration, hypotension, hyponatremia, hyperkalemia, failure to thrive, accelerated growth with advanced bone age, hirsutism, acne, menstrual irregularity, infertility, or in 11β-hydroxylase deficiency hypertension from 11-deoxycorticosterone excess. Complications include adrenal crisis, short adult stature, metabolic syndrome, osteoporosis, testicular adrenal rest tumors, polycystic ovarian features, and psychosocial morbidity. Diagnosis relies on newborn screening with elevated 17-hydroxyprogesterone, confirmatory serum steroid profiling, electrolytes, plasma renin, ACTH stimulation testing, urinary steroid metabolomics, and molecular testing of genes such as CYP21A2. Treatment centers on glucocorticoid replacement to suppress ACTH, including hydrocortisone, prednisone, or dexamethasone, fludrocortisone as a mineralocorticoid"
11,C0001815,Primary Myelofibrosis,D055728,"Primary myelofibrosis is a chronic clonal Philadelphia chromosome–negative myeloproliferative neoplasm characterized by aberrant hematopoietic stem cell proliferation, progressive bone marrow fibrosis, extramedullary hematopoiesis, splenomegaly, constitutional symptoms, cytopenias or sometimes leukocytosis/thrombocytosis, and risk of evolution to acute myeloid leukemia. The disease is driven in most cases by mutually exclusive driver lesions activating JAK-STAT signaling, notably JAK2 V617F, CALR exon 9 frameshift mutations, and MPL W515 variants, with additional high-risk mutations such as ASXL1, EZH2, SRSF2, IDH1/2, TET2, and DNMT3A influencing prognosis; downstream pathways include JAK-STAT, MAPK/ERK, PI3K/AKT, inflammatory cytokine networks including TGF-β, and stromal fibroblast activation that promotes reticulin and collagen deposition. It may arise de novo as primary disease or less commonly evolve from polycythemia vera or essential thrombocythemia, and it is usually acquired rather than inherited, although familial clustering and inherited predisposition to myeloproliferative neoplasms can occur. Typical manifestations include fatigue, weight loss, night sweats, pruritus, abdominal fullness from massive splenomegaly, bone pain, early satiety, anemia, leukoerythroblastosis, teardrop cells, and cachexia; complications include portal hypertension, thrombosis, bleeding, infections, gout, severe transfusion dependence, iron overload, and leukemic transformation. Diagnosis relies on WHO/ICC clinicopathologic criteria integrating CBC and smear findings, bone marrow biopsy showing megakaryocytic atypia with reticulin or collagen fibrosis, exclusion of BCR-ABL1-positive chronic myeloid leukemia and other myeloid neoplasms, and molecular testing for JAK2, CALR, and MPL, with cytogenetics and next-generation sequencing aiding classification and risk stratification. Common treatments include ruxolitinib and fedratinib, both JAK inhibitors that reduce splenomegaly and inflammatory symptoms, hydroxyurea as a cytoreductive ribonucleotide reductase inhibitor, momelotinib, a JAK1/JAK2 and ACVR1 inhibitor that can improve anemia, and all"
12,C0001957,Alcohol Withdrawal Delirium,D000430,"Alcohol withdrawal delirium, or delirium tremens, is an acute, life-threatening neuropsychiatric syndrome that typically appears 48–96 hours after abrupt cessation or major reduction of prolonged heavy alcohol use and represents the severe end of the alcohol withdrawal spectrum, distinct from uncomplicated withdrawal and withdrawal seizures. Its pathobiology reflects chronic ethanol-induced neuroadaptation, with downregulated inhibitory GABA-A signaling and upregulated excitatory glutamatergic NMDA activity, plus catecholaminergic hyperactivity involving norepinephrine, dopamine, cortisol, and autonomic pathways; implicated genetic contributors to alcohol dependence and withdrawal susceptibility include variants in GABRA2 and other GABA-A receptor subunits, GRIN2A/GRIN2B in NMDA signaling, SLC6A4, DRD2, COMT, OPRM1, and alcohol-metabolizing genes ADH1B and ALDH2, but inheritance is complex, polygenic, and non-Mendelian rather than disease-specific. Clinically, patients develop fluctuating delirium, profound agitation, tremor, anxiety, insomnia, disorientation, visual or tactile hallucinations, fever, diaphoresis, tachycardia, hypertension, and sometimes generalized tonic-clonic seizures. Diagnosis is clinical, based on recent alcohol cessation, delirium with autonomic overactivity, and exclusion of mimics; CIWA-Ar may help in earlier withdrawal, while laboratory testing typically assesses electrolytes, glucose, magnesium, phosphate, liver and renal function, CBC, toxicology, ECG, and sometimes EEG or neuroimaging to rule out infection, trauma, hepatic encephalopathy, or intracranial disease. First-line treatment is benzodiazepines such as diazepam, lorazepam, and chlordiazepoxide, which are positive allosteric modulators of GABA-A receptors; refractory cases may require phenobarbital, a barbiturate that enhances GABA-A signaling, dexmedetomidine, an alpha-2 agonist that blunts sympathetic outflow, or propofol, which potentiates GABA-A and inhibits NMDA receptors, alongside thiamine, fluids, and electrolyte correction. Common comorbidities include alcohol use disorder, liver disease, pancreatitis, cardiomyopathy, depression, anxiety, Wernicke-Korsakoff syndrome, infections, and trauma; major complications include arrhythmias, aspiration, rhabdomyol"
13,C0001973,Alcoholism,D000437,"Alcoholism, now generally termed alcohol use disorder (AUD), is a chronic relapsing neurobehavioral disease characterized by compulsive alcohol seeking and use despite harm, with subtypes ranging from hazardous use to mild, moderate, and severe AUD and clinical states including intoxication, withdrawal, and dependence. It is multifactorial and moderately heritable, with genetic liability commonly involving alcohol-metabolizing enzymes such as ADH1B and ALDH2, whose functional variants alter acetaldehyde handling and risk, and neurobiologic genes including GABRA2, OPRM1, SLC6A4, DRD2, and KCNJ6 that influence reward, stress responsivity, and impulsivity; inheritance is complex polygenic rather than Mendelian. Core pathophysiology centers on mesolimbic dopaminergic reward circuitry, glutamatergic NMDA signaling, GABAergic inhibition, endogenous opioid pathways, corticotropin-releasing factor and HPA-axis stress signaling, and neuroimmune/inflammatory mechanisms. Typical manifestations include craving, loss of control, tolerance, withdrawal tremor, autonomic hyperactivity, anxiety, insomnia, seizures or delirium tremens in severe withdrawal, and chronic complications such as cognitive impairment, peripheral neuropathy, alcoholic liver disease, pancreatitis, cardiomyopathy, malnutrition, Wernicke-Korsakoff syndrome, trauma, and fetal alcohol spectrum disorders; frequent comorbidities include depression, anxiety, PTSD, other substance use, hypertension, and hepatitis. Diagnosis is clinical using DSM-5 criteria, screening tools such as AUDIT or CAGE, collateral history, and laboratory evaluation including liver enzymes, gamma-glutamyl transferase, carbohydrate-deficient transferrin, mean corpuscular volume, phosphatidylethanol, and toxicology when relevant. Common pharmacotherapies include naltrexone, a mu-opioid receptor antagonist that reduces alcohol reward and heavy drinking; acamprosate, which modulates glutamatergic hyperexcitability and supports abstinence; and disulfiram, which inhibits aldehyde dehydrogenase to produce an aversive acetaldehyde reaction after alcohol exposure; adjuncts such as benzodiazepines are standard for acute withdrawal management."
14,C0002170,Alopecia,D000505,"Alopecia (MeSH D000505) is a heterogeneous disorder of hair loss that may be non-scarring or scarring, congenital or acquired, with major subtypes including androgenetic alopecia, alopecia areata, telogen effluvium, traction alopecia, cicatricial alopecias, and inherited hair-shaft or follicular disorders. Clinically it presents with patchy, diffuse, or patterned scalp hair loss, bitemporal recession or vertex thinning, exclamation-mark hairs in alopecia areata, reduced hair density, positive hair-pull test, and in scarring forms perifollicular erythema, scale, pustules, and irreversible follicular destruction; eyebrow, eyelash, beard, and body hair may also be affected. Genetic contributors vary by subtype: androgenetic alopecia is strongly polygenic with androgen receptor AR variants and loci involving EDA2R and WNT-related genes; alopecia areata is linked to immune-regulatory loci including HLA genes, CTLA4, IL2/IL21, and ULBP3; congenital hypotrichosis may reflect mutations in HR, DSG4, LIPH, LPAR6, or KRT genes, with autosomal dominant, autosomal recessive, X-linked, or complex inheritance patterns depending on the entity. Key pathways include androgen metabolism with testosterone conversion by 5-alpha-reductase to dihydrotestosterone acting via the androgen receptor, Wnt/beta-catenin and Sonic hedgehog signaling in follicle cycling, and in alopecia areata a collapse of follicular immune privilege with IFN-gamma, IL-15, NKG2D+ cytotoxic T cells, and JAK-STAT signaling. Common treatments include topical or oral minoxidil, a potassium-channel opener that prolongs anagen; finasteride or dutasteride, which inhibit 5-alpha-reductase and lower dihydrotestosterone; and corticosteroids, which suppress perifollicular inflammation, while JAK inhibitors such as baricitinib or ritlecitinib target cytokine signaling in severe alopecia areata. Comorbidities include autoimmune thyroid disease, vitiligo, atopy, psoriasis, iron deficiency, androgen excess states such as polycystic ovary syndrome, anxiety and depression, and complications include secondary infection, sun damage, and permanent scarring. Diagnosis is based on history and examination pattern, tr"
15,C0002351,Altitude Sickness,D000532,"Altitude sickness, or high-altitude illness, is an acquired hypobaric hypoxia syndrome that includes acute mountain sickness (AMS), high-altitude cerebral edema (HACE), and high-altitude pulmonary edema (HAPE); it is not classically inherited, but susceptibility is partly genetically influenced by variation in hypoxia-response and vascular genes, with representative associations reported in EPAS1/HIF2A, EGLN1/PHD2, HIF1A, VEGFA, NOS3/eNOS, ACE, EDN1, and components of the renin-angiotensin and nitric oxide pathways. Its core pathobiology involves alveolar hypoxia triggering HIF signaling, sympathetic activation, hyperventilation, cerebral vasodilation, increased capillary permeability, inflammatory mediators, endothelial dysfunction, reduced nitric oxide bioavailability, endothelin-1 excess, and in HAPE, exaggerated hypoxic pulmonary vasoconstriction with uneven pulmonary artery pressures and alveolar-capillary stress failure. Typical manifestations begin within hours after ascent and include headache, nausea, anorexia, fatigue, dizziness, poor sleep, tachycardia, and dyspnea on exertion; severe disease produces ataxia, confusion, altered consciousness, papilledema, cough, cyanosis, rales, and severe hypoxemia. Important complications and linked conditions include dehydration, pulmonary hypertension, right-heart strain, cerebral edema, retinal hemorrhage, and death, with higher risk in those with prior altitude illness, cardiopulmonary disease, or obstructive sleep apnea. Diagnosis is chiefly clinical in the setting of recent ascent, using symptom-based criteria such as the Lake Louise Score for AMS and neurologic dysfunction for HACE, supported by pulse oximetry, arterial blood gases, chest radiography for HAPE, and brain imaging when cerebral edema or alternative diagnoses are considered. Treatment relies on descent and oxygen, with acetazolamide, a carbonic anhydrase inhibitor that induces metabolic acidosis and augments ventilation; dexamethasone, a glucocorticoid that reduces cerebral edema and inflammation; nifedipine, a calcium-channel blocker that lowers pulmonary artery pressure in HAPE; and in selected cases phosphodiesterase-5 inhibitors such as sildenafil or tadalafil, or inhaled beta-agonists, to improve pulmonary vascular and alveolar fluid handling."
16,C0002390,"Alveolitis, Extrinsic Allergic",D000542,"Extrinsic allergic alveolitis, or hypersensitivity pneumonitis, is an immune-mediated interstitial and small-airway lung disease caused by repeated inhalation of organic antigens such as thermophilic actinomycetes, avian proteins, molds, or isocyanates, and is classically divided into acute, subacute, and chronic fibrotic forms. Pathobiology reflects antigen-driven type III and type IV hypersensitivity with immune-complex formation, lymphocytic alveolitis, poorly formed noncaseating granulomas, and, in progressive disease, aberrant repair and fibrosis; key pathways include antigen presentation by HLA class II molecules, Th1/Th17 polarization, macrophage activation, TNF-α, IL-1, IL-6, IFN-γ, CXCL9/CXCL10, and fibrogenic TGF-β signaling. Genetic susceptibility is incompletely penetrant but includes associations with HLA-DR and HLA-DQ alleles, MUC5B promoter variant rs35705950 in fibrotic disease, and telomere-related genes such as TERT and TERC in some patients; familial transmission is uncommon and no simple Mendelian inheritance pattern is typical. Symptoms usually include episodic fever, chills, cough, chest tightness, malaise, and dyspnea hours after exposure in acute disease, while chronic disease presents with progressive exertional dyspnea, fatigue, weight loss, bibasilar crackles, and sometimes clubbing. Diagnosis integrates a convincing exposure history, serum precipitating IgG to suspected antigens, high-resolution CT showing ground-glass opacities, centrilobular nodules, mosaic attenuation or fibrosis, bronchoalveolar lavage lymphocytosis, restrictive physiology with reduced DLCO, and, when needed, lung biopsy demonstrating bronchiolocentric interstitial inflammation and granulomas. Main treatment is antigen avoidance plus corticosteroids such as prednisone, which suppress NF-κB-driven cytokine transcription; steroid-sparing immunosuppressants including azathioprine, a purine synthesis inhibitor, and mycophenolate mofetil, an inosine monophosphate dehydrogenase inhibitor, are used in selected cases, while antifibrotics such as nintedanib, a multikinase inhibitor targeting PDGFR/FGFR/VEGFR, may slow chronic fibrosing progression. Important comorbidities and complications include"
17,C0002395,Alzheimer Disease,D000544,"Alzheimer disease (MeSH D000544) is a progressive neurodegenerative dementia characterized pathologically by extracellular amyloid-β plaques, intracellular hyperphosphorylated tau neurofibrillary tangles, synaptic failure, neuronal loss, and cerebral atrophy, most prominently in the hippocampus and association cortex. Major genetic contributors include APP, PSEN1, and PSEN2 mutations causing autosomal dominant early-onset disease, and APOE ε4 as the strongest common risk allele for late-onset disease; additional susceptibility genes include TREM2, SORL1, ABCA7, CLU, PICALM, and BIN1. Core pathogenic pathways involve amyloidogenic APP processing by β-secretase BACE1 and γ-secretase, tau phosphorylation and aggregation mediated in part by GSK3β and CDK5, impaired cholinergic neurotransmission, glutamate-mediated excitotoxicity through NMDA receptors, microglial activation and neuroinflammation, mitochondrial dysfunction, oxidative stress, lysosomal-autophagic failure, and cerebrovascular amyloid deposition. Clinically, patients develop insidious episodic memory impairment followed by deficits in language, visuospatial and executive function, behavioral and neuropsychiatric symptoms such as apathy, depression, agitation, psychosis, and ultimately loss of activities of daily living, gait dysfunction, dysphagia, and seizures in some cases. Subtypes include sporadic late-onset, familial early-onset, and atypical variants such as posterior cortical atrophy and logopenic aphasia. Standard symptomatic treatments include donepezil, rivastigmine, and galantamine, which inhibit acetylcholinesterase to enhance central cholinergic signaling, and memantine, a low-affinity NMDA receptor antagonist that reduces excitotoxicity; anti-amyloid monoclonal antibodies such as lecanemab may reduce aggregated amyloid burden in selected early-stage patients. Common comorbidities and complications include cerebrovascular disease, hypertension, diabetes, frailty, falls, malnutrition, aspiration pneumonia, delirium, and sleep disturbance. Diagnosis is based on characteristic progressive cognitive decline with functional impairment, neuropsychological testing, MRI or CT showing cortical and hippocampal atrophy, FDG-PET hypometabolism, amyloid or tau PET, CSF biomarkers including reduced Aβ42 with elevated total and phosphorylated tau, and confirmatory genetic testing when familial disease is suspected."
18,C0002438,Amebiasis,D000562,"Amebiasis (MeSH D000562) is a protozoal infection caused mainly by Entamoeba histolytica, typically acquired by the fecal-oral route and ranging from asymptomatic colonization to invasive colitis and extraintestinal disease, especially amebic liver abscess. Key parasite virulence determinants include the Gal/GalNAc lectin complex (heavy and light subunits; adhesion), cysteine proteases such as EhCP1, EhCP2, and EhCP5 (mucosal invasion and tissue destruction), amoebapores (pore-forming peptides), and host-interacting enzymes including peroxiredoxin; representative host susceptibility factors include HLA class II variants, leptin receptor polymorphisms such as Q223R, and innate immune mediators including TNF, IL-10, IFNG, and TLR signaling genes, although the disorder is infectious rather than Mendelian and has no classical inheritance pattern. Pathobiology involves epithelial adherence, MUC2 mucus degradation, contact-dependent cytotoxicity, complement evasion, neutrophil and macrophage activation, and NF-kB-, inflammasome-, TNF-alpha-, IL-1/IL-8-, and IFN-gamma-associated inflammatory pathways that drive ulceration. Clinical manifestations include abdominal pain, watery or bloody diarrhea, tenesmus, fever, weight loss, and flask-shaped colonic ulcers; extraintestinal spread may cause right upper quadrant pain, fever, hepatomegaly, and rarely pleuropulmonary or cerebral abscesses. Major forms are asymptomatic intestinal carriage, acute amebic colitis or dysentery, chronic colitis, fulminant necrotizing colitis, ameboma, and extraintestinal amebiasis. Comorbidities and complications include malnutrition, pregnancy, corticosteroid exposure, HIV-related vulnerability, toxic megacolon, perforation, hemorrhage, and liver abscess. Diagnosis relies on stool NAAT/PCR or antigen detection to distinguish E. histolytica from E. dispar, stool microscopy for cysts or trophozoites, serology for invasive disease, colonoscopy with biopsy when needed, and ultrasonography or CT for hepatic abscess. Treatment commonly uses metronidazole or tinidazole, nitroimidazoles that generate toxic free-radical intermediates damaging parasite DNA and proteins, followed by a luminal agent such as paromomy"
19,C0002453,Amenorrhea,D000568,"Amenorrhea is the absence of menstruation, classified as primary when menses have not begun by about age 15 years despite secondary sexual development or by 13 years without it, and as secondary when established menses cease for at least 3 months, reflecting disruption anywhere along the hypothalamic-pituitary-ovarian-uterine axis. Common causes include functional hypothalamic amenorrhea, polycystic ovary syndrome, hyperprolactinemia, primary ovarian insufficiency, thyroid disease, congenital outflow tract anomalies, and pregnancy; typical findings include absent or infrequent bleeding, infertility, hot flashes, galactorrhea, hirsutism, acne, pelvic pain, low bone density, or pubertal delay depending on etiology. Genetic contributors are well recognized in gonadal dysgenesis and hypogonadotropic hypogonadism, including X-chromosome abnormalities such as monosomy X in Turner syndrome, FMR1 premutation-associated primary ovarian insufficiency, and variants in ANOS1, FGFR1, GNRHR, KISS1R, TAC3/TACR3, FSHR, LHCGR, CYP17A1, CYP19A1, and NR5A1; altered proteins include GnRH receptor, FSH/LH receptors, aromatase, and steroidogenic enzymes. Key pathways involve pulsatile GnRH signaling, pituitary LH/FSH secretion, ovarian folliculogenesis and estradiol/progesterone feedback, prolactin-dopamine regulation, insulin and PI3K-AKT signaling in PCOS, and leptin-KISS1 neuroendocrine control of energy-dependent reproduction. Treatment is cause-specific and commonly includes combined estrogen-progestin therapy to replace sex steroids and protect bone/endometrium, cyclic progesterone to induce withdrawal bleeding and prevent endometrial hyperplasia, bromocriptine or cabergoline as dopamine D2 agonists for hyperprolactinemia, levothyroxine for hypothyroid-related amenorrhea, pulsatile GnRH or gonadotropins for ovulation induction, and metformin to improve insulin sensitivity in PCOS. Important comorbidities and complications include infertility, osteoporosis, endometrial hyperplasia/cancer in chronic anovulation, metabolic syndrome, cardiovascular risk, and psychological distress. Diagnosis relies on history, physical examination, exclusion of pregnancy, serum FSH, LH, estradi"
